"energy","liveness","speechiness","acousticness","instrumentalness","danceability","valence","uri"
0.533,0.122,0.0436,0.0206,0.00121,0.776,0.176,"spotify:track:5ppcig5J8zvHej6P2qnBTt"
0.853,0.152,0.389,0.302,0,0.633,0.56,"spotify:track:7MDKvOzNgAJ3KMCtaP2UOa"
0.649,0.174,0.0362,0.0306,2.46e-05,0.607,0.47,"spotify:track:1dNIEtp7AY3oDAKCGg2XkH"
0.722,0.228,0.252,0.00687,0,0.482,0.387,"spotify:track:73doEQBZgtkom1Iyy76dEk"
0.909,0.101,0.0679,0.028,0.524,0.811,0.0594,"spotify:track:4OkIHY9ia3NtSB2CtjTSwz"
0.343,0.102,0.38,0.723,5.48e-06,0.714,0.388,"spotify:track:2VQc9orzwE6a5qFfy54P6e"
0.43,0.0977,0.281,0.0498,1.59e-05,0.838,0.121,"spotify:track:0WCbhE2evMrIwRM0DlMy9k"
0.0733,0.109,0.0429,0.837,0.971,0.0635,0.0372,"spotify:track:3JWjcGwtuNGXIVgJl3ax4c"
0.116,0.338,0.0349,0.936,0.971,0.202,0.037,"spotify:track:5gbBbzBnuat3nBDZWNHusF"
0.386,0.0638,0.0359,0.306,0.887,0.243,0.0391,"spotify:track:2ojMxjdpAZsF7RhWJmOUL0"
0.842,0.227,0.0441,0.000476,0.911,0.138,0.29,"spotify:track:3YY0AlJAKxKmN0OttvKQ31"
0.647,0.188,0.0281,0.00404,0.705,0.565,0.208,"spotify:track:4M5fqxO2LsqKA4AJqpduxv"
0.0729,0.0746,0.0382,0.736,0.909,0.25,0.0344,"spotify:track:7a70wyEZ5XhS8MzTU9kIvn"
0.698,0.11,0.128,0.0599,0.288,0.608,0.598,"spotify:track:2HerQMSQ9Y5LwzFr9RqMXx"
0.54,0.304,0.0289,0.0579,0.752,0.52,0.0958,"spotify:track:4NfMwbwXBYAgTAEyBnfokZ"
0.155,0.0715,0.0284,0.959,0.917,0.448,0.055,"spotify:track:6jG9kgUfefSiIEg9jbPN2x"
0.893,0.109,0.185,0.000188,0.537,0.329,0.588,"spotify:track:3DP1DqV0Ggo6y1UWtKDr3C"
