"liveness","speechiness","acousticness","instrumentalness","danceability","clustering"
0.108,0.0289,0.416,0,0.456,1
0.137,0.0546,0.762,0.000353,0.584,2
0.122,0.0308,0.766,1.77e-06,0.48,2
0.0951,0.0259,0.916,0.0114,0.431,2
0.108,0.906,0.983,0.000111,0.757,3
0.103,0.0285,0.671,0.0723,0.528,2
0.227,0.0391,0.515,0.0418,0.628,1
0.203,0.0419,0.967,0.0642,0.0906,4
0.119,0.0415,0.5,0.423,0.779,1
0.122,0.0417,0.643,0,0.663,2
0.114,0.0316,0.822,0.213,0.22,4
0.0571,0.452,0.947,0.000246,0.584,3
0.105,0.23,0.553,0.000397,0.771,3
0.249,0.254,0.589,1.7e-06,0.526,1
0.0959,0.0297,0.753,0.000104,0.401,2
0.117,0.0433,0.919,0.0255,0.251,4
0.111,0.0295,0.696,2.52e-05,0.39,2
0.177,0.0297,0.638,4.25e-06,0.513,2
0.0589,0.0544,0.539,0,0.671,1
0.122,0.0308,0.766,1.77e-06,0.48,2
0.081,0.0286,0.729,0.00565,0.51,2
0.102,0.38,0.723,5.48e-06,0.714,3
0.101,0.028,0.486,0.000631,0.658,1
0.137,0.0357,0.848,0,0.472,2
0.123,0.0305,0.445,0,0.42,1
0.329,0.0275,0.473,0,0.545,1
0.0997,0.0372,0.459,0.43,0.708,1
0.119,0.0291,0.752,0.00389,0.473,2
0.117,0.0433,0.919,0.0255,0.251,4
0.113,0.0363,0.417,0.141,0.19,1
0.23,0.668,0.577,0,0.77,3
0.0966,0.0493,0.593,0.0211,0.748,1
0.515,0.344,0.623,0,0.685,3
0.1,0.0377,0.433,0.00078,0.48,1
0.0892,0.0315,0.644,0.00372,0.464,2
0.0475,0.181,0.939,0.298,0.404,4
0.495,0.273,0.586,0,0.469,1
0.271,0.0328,0.98,0.00816,0.389,4
0.108,0.0283,0.869,0.00768,0.262,4
0.119,0.0479,0.596,0.0561,0.451,2
0.123,0.0901,0.708,0,0.635,2
0.779,0.357,0.53,0,0.67,3
0.0916,0.0371,0.958,5.57e-06,0.77,2
0.108,0.0341,0.939,5.43e-05,0.296,4
0.171,0.0303,0.849,0.000102,0.477,2
0.351,0.0332,0.949,0.367,0.251,4
0.1,0.0419,0.669,0.000108,0.411,2
0.125,0.0286,0.623,8.61e-05,0.513,2
0.124,0.027,0.886,3e-04,0.536,2
0.104,0.529,0.582,0,0.811,3
0.141,0.0317,0.838,0,0.439,2
0.0851,0.248,0.507,0,0.539,1
0.133,0.0295,0.867,0.000125,0.437,2
0.153,0.0291,0.761,0.0575,0.603,2
0.377,0.307,0.655,0.269,0.628,3
0.137,0.0372,0.42,0.0064,0.518,1
0.351,0.0332,0.949,0.367,0.251,4
0.0845,0.027,0.862,0.0164,0.531,2
0.139,0.0312,0.461,3.82e-05,0.272,1
0.1,0.0388,0.941,0.0572,0.121,4
