"liveness","speechiness","acousticness","instrumentalness","danceability","clustering"
0.122,0.0436,0.0206,0.00121,0.776,1
0.152,0.389,0.302,0,0.633,1
0.174,0.0362,0.0306,0.0000246,0.607,1
0.228,0.252,0.00687,0,0.482,1
0.101,0.0679,0.028,0.524,0.811,2
0.102,0.38,0.723,0.00000548,0.714,3
0.0977,0.281,0.0498,0.0000159,0.838,1
0.109,0.0429,0.837,0.971,0.0635,4
0.338,0.0349,0.936,0.971,0.202,4
0.0638,0.0359,0.306,0.887,0.243,5
0.227,0.0441,0.000476,0.911,0.138,5
0.188,0.0281,0.00404,0.705,0.565,2
0.0746,0.0382,0.736,0.909,0.25,4
0.11,0.128,0.0599,0.288,0.608,1
0.304,0.0289,0.0579,0.752,0.52,2
0.0715,0.0284,0.959,0.917,0.448,4
0.109,0.185,0.000188,0.537,0.329,5
0.385,0.0444,0.000174,0.936,0.4,5
0.124,0.0404,0.689,0.861,0.481,4
0.131,0.0371,0.00507,0.000752,0.621,1
0.101,0.0314,0.925,0.938,0.283,4
0.113,0.0363,0.417,0.141,0.19,3
0.0754,0.0377,0.354,0.778,0.356,5
0.0706,0.0413,0.207,0.828,0.223,5
0.31,0.131,0.00215,0.0000115,0.886,1
0.512,0.0384,0.0507,0.171,0.464,1
0.0655,0.0713,0.00139,0.428,0.412,1
0.34,0.0342,0.0703,0.0913,0.654,1
0.108,0.0912,0.0176,0.729,0.586,2
0.144,0.108,0.104,0.0000277,0.562,1
0.413,0.0317,0.0872,0.000166,0.086,1
0.208,0.0669,0.000325,0.944,0.426,2
0.103,0.0788,0.161,0.883,0.277,5
0.0848,0.0871,0.0367,0.915,0.339,5
0.109,0.03,0.0217,0.163,0.263,1
0.353,0.0675,0.00297,0.0443,0.655,1
0.312,0.0568,0.0109,0.855,0.4,5
0.234,0.0373,0.012,0.771,0.429,2
0.0746,0.0353,0.0585,0.892,0.552,2
0.151,0.0459,0.0963,0.929,0.1,5
0.0929,0.0339,0.0463,0.925,0.447,2
0.333,0.0976,0.0847,0,0.651,1
0.0452,0.0764,0.00176,0.945,0.493,2
0.28,0.0326,0.0191,0.754,0.283,5
0.268,0.0494,0.903,0.721,0.273,4
0.0589,0.0544,0.539,0,0.671,3
0.153,0.342,0.0149,0.00367,0.452,1
0.156,0.0739,0.647,0.876,0.66,4
0.106,0.029,0.295,0.87,0.477,2
0.153,0.0291,0.761,0.0575,0.603,3
0.139,0.0312,0.461,0.0000382,0.272,3
0.0845,0.027,0.862,0.0164,0.531,3
0.119,0.0291,0.752,0.00389,0.473,3
0.124,0.027,0.886,0.0003,0.536,3
0.329,0.0275,0.473,0,0.545,3
0.125,0.0286,0.623,0.0000861,0.513,3
0.231,0.0293,0.192,0.0838,0.495,1
0.0892,0.0315,0.644,0.00372,0.464,3
0.137,0.0372,0.42,0.0064,0.518,3
0.0959,0.0297,0.753,0.000104,0.401,3
0.114,0.0316,0.822,0.213,0.22,3
0.369,0.444,0.0241,0.00000165,0.679,1
0.0802,0.163,0.118,0.0000323,0.804,1
0.106,0.234,0.437,0.813,0.78,2
0.515,0.344,0.623,0,0.685,3
0.544,0.0564,0.135,0.00000148,0.712,1
0.779,0.357,0.53,0,0.67,3
0.116,0.119,0.072,0,0.472,1
0.104,0.529,0.582,0,0.811,3
0.123,0.0901,0.708,0,0.635,3
0.297,0.176,0.00569,0,0.544,1
0.09,0.112,0.0402,0,0.473,1
0.23,0.668,0.577,0,0.77,3
0.331,0.0389,0.0441,0.00001,0.559,1
0.194,0.0843,0.336,0,0.667,1
0.138,0.463,0.271,0.000354,0.526,1
0.133,0.0502,0.185,0.00264,0.511,1
0.108,0.906,0.983,0.000111,0.757,3
0.107,0.295,0.0363,0,0.822,1
0.235,0.31,0.236,0,0.471,1
0.175,0.146,0.0473,0,0.783,1
0.334,0.0729,0.133,0.00000163,0.762,1
0.0672,0.0631,0.061,0.224,0.378,1
0.147,0.0791,0.00836,0,0.409,1
0.0593,0.0398,0.0000752,0.899,0.781,2
0.145,0.0522,0.000331,0.705,0.283,5
0.0851,0.248,0.507,0,0.539,3
0.113,0.0401,0.0359,0.844,0.719,2
0.119,0.0479,0.596,0.0561,0.451,3
0.378,0.0569,0.0167,0.0000464,0.414,1
0.101,0.0554,0.0116,0.0462,0.738,1
0.359,0.0341,0.019,0.773,0.357,5
0.112,0.0333,0.257,0.836,0.335,5
0.122,0.0417,0.643,0,0.663,3
0.0382,0.0549,0.00226,0.000315,0.893,1
0.271,0.0328,0.98,0.00816,0.389,3
0.319,0.0747,0.000432,0.905,0.324,5
0.611,0.0366,0.44,0.281,0.294,1
0.469,0.275,0.39,0,0.548,1
0.375,0.109,0.00068,0.815,0.35,5
0.107,0.0621,0.00391,0.00386,0.322,1
0.113,0.0278,0.0123,0.00551,0.627,1
0.0729,0.262,0.392,0.00643,0.604,1
0.203,0.113,0.0232,0.0893,0.312,1
0.12,0.0955,0.0903,0.294,0.654,1
0.0662,0.366,0.0221,0.00000133,0.547,1
0.0787,0.0342,0.916,0.918,0.22,4
0.0814,0.293,0.00017,0.033,0.591,1
0.0727,0.309,0.193,0.000151,0.769,1
